0
"Damar Hamlin makes first public comments since suffering cardiac arrest: ""The love is felt"", par Worldly_Pirate_9817"
Bolsonaro supporters storm the Supreme Federal Court of Brazil, par vectorix108
Guy told me the car overheats whenever he turns on the lights. Well he failed to mention doing that also gives him a full tank of gas!, par Stephanie_Lowes
To reveal gender, par Diligent-Local6906
20 points from WB, par typicalking97
does this count? it definitely made me smile <3, par Meowface_the_cat
The day Adept posted the flowers in XQC's McLaren she started the divorce case against XQC, par O_Nikolakis
Buuurrn!, par esberat
After moving that dice, I realized something, par Longshanks666
What are some red flags in an interview that reveals the job is toxic?, par Denarik
In An American Werewolf in London (1981), the man who gets hit by a car and thrown through a window in this shot is the film's writer and director John Landis making a cameo., par TheChainLink2
Stray border collie stealing from my fridge, no collar and a bit fiesty, think I might keep him, par Hephaestite
I’D pay, par Wassath123
tiktokception, par Axesmed
Woman Caught A Man Taking Pictures Of Her Daughter At An Amusement Park And She Was Not Having It, par SuckableBobs
Hierarchical Dirichlet Process and Relative Entropy, par Shui Feng
Spectral analysis of communication networks using Dirichlet eigenvalues, par Alexander Tsiatas, Iraj Saniee, Onuttom Narayan, Matthew Andrews
Dirichlet Process Mixtures of Generalized Mallows Models, par Marina Meila, Harr Chen
Clustering consistency with Dirichlet process mixtures, par Filippo Ascolani, Antonio Lijoi, Giovanni Rebaudo, Giacomo Zanella
A Hierarchical Dirichlet Process Model with Multiple Levels of  Clustering for Human EEG Seizure Modeling, par Drausin Wulsin, Shane Jensen, Brian Litt
The supervised hierarchical Dirichlet process, par Andrew M. Dai, Amos J. Storkey
Scalable Inference for Latent Dirichlet Allocation, par James Petterson, Tiberio Caetano
Dynamic Clustering via Asymptotics of the Dependent Dirichlet Process  Mixture, par Trevor Campbell, Miao Liu, Brian Kulis, Jonathan P. How, Lawrence Carin
Dirichlet-tree multinomial mixtures for clustering microbiome  compositions, par Jialiang Mao, Li Ma
Percolation Perturbations in Potential Theory and Random Walks, par Itai Benjamini, Russell Lyons, Oded Schramm
Numerical conformal mapping with rational functions, par Lloyd N. Trefethen
Revisiting k-means: New Algorithms via Bayesian Nonparametrics, par Brian Kulis, Michael I. Jordan
Bayesian Clustering of Transcription Factor Binding Motifs, par Shane T. Jensen, Jun S. Liu
DIMM-SC: A Dirichlet mixture model for clustering droplet-based single  cell transcriptomic data, par Zhe Sun, Ting Wang, Ke Deng, Xiao-Feng Wang, Robert Lafyatis, Ying Ding, Ming Hu, Wei Chen
Consistency Analysis for the Doubly Stochastic Dirichlet Process, par Xing Sun, Nelson H. C. Yung, Edmund Y. Lam, Hayden K. -H. So
"Powered Dirichlet Process for Controlling the Importance of  ""Rich-Get-Richer"" Prior Assumptions in Bayesian Clustering, par Gaël Poux-Médard, Julien Velcin, Sabine Loudcher"
Flexible clustering via hidden hierarchical Dirichlet priors, par Antonio Lijoi, Igor Prünster, Giovanni Rebaudo
Bayesian mixture models (in)consistency for the number of clusters, par Louise Alamichel, Daria Bystrova, Julyan Arbel, Guillaume Kon Kam King
A Bayesian View of the Poisson-Dirichlet Process, par Wray Buntine, Marcus Hutter
From here to infinity - sparse finite versus Dirichlet process mixtures  in model-based clustering, par Sylvia Frühwirth-Schnatter, Gertraud Malsiner-Walli
Flexible Priors for Exemplar-based Clustering, par Daniel Tarlow, Richard S. Zemel, Brendan J. Frey
Parallel Clustering of Single Cell Transcriptomic Data with Split-Merge  Sampling on Dirichlet Process Mixtures, par Tiehang Duan, José P. Pinto, Xiaohui Xie
Hierarchical Latent Word Clustering, par Halid Ziya Yerebakan, Fitsum Reda, Yiqiang Zhan, Yoshihisa Shinagawa
An efficient algorithm for solving elliptic problems on percolation  clusters, par Chenlin Gu
Colouring and breaking sticks: random distributions and heterogeneous  clustering, par Peter J. Green
Beta-Product Poisson-Dirichlet Processes, par Federico Bassetti, Roberto Casarin, Fabrizio Leisen
Conjoined Dirichlet Process, par Michelle N. Ngo, Dustin S. Pluta, Alexander N. Ngo, Babak Shahbaba
On the Variational Posterior of Dirichlet Process Deep Latent Gaussian  Mixture Models, par Amine Echraibi, Joachim Flocon-Cholet, Stéphane Gosselin, Sandrine Vaton
Powered Hawkes-Dirichlet Process: Challenging Textual Clustering using a  Flexible Temporal Prior, par Gaël Poux-Médard, Julien Velcin, Sabine Loudcher
Nonparametric Variable Selection, Clustering and Prediction for  High-Dimensional Regression, par Subharup Guha, Veerabhadran Baladandayuthapani
Invariant Percolation and Harmonic Dirichlet Functions, par Damien Gaboriau
Bayesian Nonparametric Multilevel Clustering with Group-Level Contexts, par Vu Nguyen, Dinh Phung, XuanLong Nguyen, Svetha Venkatesh, Hung Hai Bui
Gibbs Sampling for (Coupled) Infinite Mixture Models in the Stick  Breaking Representation, par Ian Porteous, Alexander T. Ihler, Padhraic Smyth, Max Welling
Functional clustering in nested designs: Modeling variability in  reproductive epidemiology studies, par Abel Rodriguez, David B. Dunson
Posterior Distribution for the Number of Clusters in Dirichlet Process  Mixture Models, par Chiao-Yu Yang, Eric Xia, Nhat Ho, Michael I. Jordan
Bayesian nonparametric temporal dynamic clustering via autoregressive  Dirichlet priors, par Maria De Iorio, Stefano Favaro, Alessandra Guglielmi, Lifeng Ye
Topic Detection from Conversational Dialogue Corpus with Parallel  Dirichlet Allocation Model and Elbow Method, par Haider Khalid, Vincent Wade
Joint Clustering and Registration of Functional Data, par Yafeng Zhang, Donatello Telesca
Heterogeneous Regression Models for Clusters of Spatial Dependent Data, par Zhihua Ma, Yishu Xue, Guanyu Hu
Dirichlet Fragmentation Processes, par Hong Ge, Yarin Gal, Zoubin Ghahramani
The semi-hierarchical Dirichlet Process and its application to  clustering homogeneous distributions, par Mario Beraha, Alessandra Guglielmi, Fernando A. Quintana
A Dirichlet Mixture Model of Hawkes Processes for Event Sequence  Clustering, par Hongteng Xu, Hongyuan Zha
Predictive Hierarchical Clustering: Learning clusters of CPT codes for  improving surgical outcomes, par Elizabeth C. Lorenzi, Stephanie L. Brown, Zhifei Sun, Katherine Heller
Sharp L^p bounds on spectral clusters for Lipschitz metrics, par Herbert Koch, Hart Smith, Daniel Tataru
Robust Bayesian inference of networks using Dirichlet t-distributions, par Michael Finegold, Mathias Drton
ClusterCluster: Parallel Markov Chain Monte Carlo for Dirichlet Process  Mixtures, par Dan Lovell, Jonathan Malmaud, Ryan P. Adams, Vikash K. Mansinghka
An Alternative Prior Process for Nonparametric Bayesian Clustering, par Hanna M. Wallach, Shane T. Jensen, Lee Dicker, Katherine A. Heller
Sparse Bayesian Hierarchical Modeling of High-dimensional Clustering  Problems, par Heng Lian
Infinite mixtures of multivariate normal-inverse Gaussian distributions  for clustering of skewed data, par Yuan Fang, Dimitris Karlis, Sanjeena Subedi
Flexible Bayesian Product Mixture Models for Vector Autoregressions, par Suprateek Kundu, Joshua Lukemire
